pathway,distance_corr,reduction_score_probability,eval_split,fully_connected_neuron_fraction,n_fully_connected_neurons_selected,n_pathway_nodes,overlap_threshold,run_dir
REACTOME_SIGNALING_BY_NOTCH4,,0.7991589233520918,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0.4094564914703369,0.48761649568178667,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0.6130815744400024,0.7349630517695888,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION,0.8763934969902039,0.5454473750630995,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.734848141670227,0.5459144535782432,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE,-0.0161364786326885,0.7977680324190924,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,,0.7931125943375648,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_NOTCH2,,0.13524233302796307,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,,0.7810478558652881,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,0.4712574481964111,0.536497434850942,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.6369019746780396,0.5751572376724435,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,0.619045078754425,0.45642721602867586,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA,0.8729052543640137,0.5085797717202312,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,,0.7885058674693538,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_NOTCH1,0.5853044390678406,0.5204929416521633,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
