pathway,distance_corr,reduction_score_probability,eval_split,fully_connected_neuron_fraction,n_fully_connected_neurons_selected,n_pathway_nodes,overlap_threshold,run_dir
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,0.6082943081855774,0.3803095280536011,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SULFUR_AMINO_ACID_METABOLISM,0.1211915761232376,0.6212423063614726,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,0.2587876319885254,0.4073329015112019,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.5514901876449585,0.5578844986972195,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,,0.7850298826506128,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_ERBB2,0.5916465520858765,0.3739336553662071,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,0.7628616690635681,0.4379385239517867,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,,0.785747066265323,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_DEFENSINS,0.8145083785057068,0.5608614675984195,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,0.182732343673706,0.4683027335353514,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,0.6531599760055542,0.5243173466270398,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,0.3073844611644745,0.4211172030540779,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS,0.951463222503662,0.4261952445362496,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_BETA_DEFENSINS,0.9423558712005616,0.3911778037967927,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0.4892926216125488,0.914930038173897,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,0.5987148284912109,0.5366241924545812,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,0.5788509249687195,0.45845587975991486,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,0.5200238227844238,0.4788919532304863,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,0.6868581771850586,0.5372400076172743,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,0.7341492772102356,0.7518988763847712,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION,0.4572079181671142,0.3591913468238557,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX,,0.7694856694149982,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI,0.7734428644180298,0.6213571659399982,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION,,0.7788142913231254,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.4965543448925018,0.3943823430064563,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,,0.7726737338044758,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_HIPPO,0.9006255865097046,0.5313975063149599,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.6922467350959778,0.40987127463624506,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,0.8101585507392883,0.7837917186566146,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_NOTCH4,,0.7679902281551281,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0.431501567363739,0.4668314242097509,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0.7442192435264587,0.705152069661787,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION,0.943735897541046,0.509121375287453,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.7783446311950684,0.5477751505672492,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE,0.0238869078457355,0.773970777946043,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,,0.7724137329319897,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
